scenario,group,day,S,I_P,I_W,R_P,total,pressure,risk_ratio
uncertainty_alpha_1_cv_0.15,uncertainty,50,0.0281531326023774,0.07588584386254513,0.01097910449495832,0.884981919040119,0.9999999999999999,0.08686494835750344,0.14467921731021643
uncertainty_alpha_1_cv_0.30,uncertainty,0,0.98,0.01,0.01,0.0,1.0,0.02,1.0
uncertainty_alpha_1_cv_0.30,uncertainty,1,0.948929818098752,0.019304706862262735,0.030756284856909358,0.0010091901820757547,0.9999999999999999,0.050060991719172096,1.593201340810433
uncertainty_alpha_1_cv_0.30,uncertainty,2,0.8841705917902959,0.03687086502495302,0.07601575750687306,0.0029427856778778475,0.9999999999999999,0.11288662253182608,2.061675457178128
uncertainty_alpha_1_cv_0.30,uncertainty,3,0.7657207660807259,0.069032155527668,0.1586523454946643,0.006594732896941648,1.0,0.22768450102233231,2.2982383250523974
uncertainty_alpha_1_cv_0.30,uncertainty,4,0.5884172487580629,0.12472192256519171,0.2735555030814587,0.013305325595286549,0.9999999999999999,0.3982774256466504,2.193323334464093
uncertainty_alpha_1_cv_0.30,uncertainty,5,0.3870401768298029,0.21235127416370309,0.37554670305821086,0.025061845948283375,1.0000000000000002,0.587897977221914,1.7685163629802347
uncertainty_alpha_1_cv_0.30,uncertainty,6,0.21928749129022845,0.3310305353368459,0.4055043704794523,0.044177602893473465,1.0000000000000002,0.7365349058162982,1.2249757263837435
uncertainty_alpha_1_cv_0.30,uncertainty,7,0.11297050668309441,0.46164084838622255,0.35312213177040935,0.07226651316027366,0.9999999999999999,0.8147629801566318,0.764928261883309
uncertainty_alpha_1_cv_0.30,uncertainty,8,0.05695832376332864,0.5734850407271432,0.26050082951909853,0.10905580599042947,0.9999999999999998,0.8339858702462417,0.45424171690476833
uncertainty_alpha_1_cv_0.30,uncertainty,9,0.02981537820670388,0.6455852610941579,0.172288395510752,0.15231096518838613,1.0,0.81787365660491,0.266871637092136
uncertainty_alpha_1_cv_0.30,uncertainty,10,0.016706728259660103,0.6767676329434179,0.10750084699864304,0.1990247917982788,0.9999999999999999,0.784268479942061,0.1588445454034159
uncertainty_alpha_1_cv_0.30,uncertainty,11,0.010138931931373218,0.6775143349090924,0.0657393023056792,0.24660743085385514,0.9999999999999999,0.7432536372147716,0.09703012750940536
uncertainty_alpha_1_cv_0.30,uncertainty,12,0.006713230852225872,0.6595618304037532,0.04040860778081041,0.2933163309632106,1.0,0.6999704381845636,0.06126583728484429
uncertainty_alpha_1_cv_0.30,uncertainty,13,0.00488738516520204,0.6315807838442177,0.02537906435390452,0.33815276663667576,1.0,0.6569598481981221,0.04018340171692808
uncertainty_alpha_1_cv_0.30,uncertainty,14,0.003927035847520249,0.5989760962827768,0.01647762634921132,0.38061924152049165,1.0,0.6154537226319882,0.027509655980381936
uncertainty_alpha_1_cv_0.30,uncertainty,15,0.003461594588806929,0.564853138110693,0.011167808882064856,0.42051745841843524,1.0,0.5760209469927579,0.019771172590841348
uncertainty_alpha_1_cv_0.30,uncertainty,16,0.0032940849396538747,0.5309168374867897,0.007972170342132478,0.4578169072314239,1.0,0.5388890078289222,0.015015855175869876
uncertainty_alpha_1_cv_0.30,uncertainty,17,0.003315257601545235,0.4980684051458577,0.006038983360609218,0.49257735389198787,1.0,0.504107388506467,0.01212480715142074
uncertainty_alpha_1_cv_0.30,uncertainty,18,0.00346239077917215,0.4667582189454239,0.004874468823224254,0.5249049214521797,1.0,0.47163268776864814,0.010443241544278422
uncertainty_alpha_1_cv_0.30,uncertainty,19,0.0036984420331074657,0.4371855705717344,0.004188417761166665,0.5549275696339915,1.0,0.4413739883329011,0.009580411713243907
uncertainty_alpha_1_cv_0.30,uncertainty,20,0.0040010215008212365,0.40941028808690094,0.003807218616834587,0.5827814717954432,0.9999999999999999,0.4132175067037355,0.009299274413999267
uncertainty_alpha_1_cv_0.30,uncertainty,21,0.0043563416231532206,0.38341521949708485,0.0036249578008317814,0.60860348107893,0.9999999999999999,0.3870401772979166,0.009454392044182644
uncertainty_alpha_1_cv_0.30,uncertainty,22,0.004755791565094346,0.35914149854514077,0.0035756936322750396,0.6325270162574897,1.0,0.3627171921774158,0.009956225183555633
uncertainty_alpha_1_cv_0.30,uncertainty,23,0.005193943067811645,0.3365086527388267,0.003617518292582445,0.6546798859007791,0.9999999999999998,0.34012617103140913,0.010750149403706707
uncertainty_alpha_1_cv_0.30,uncertainty,24,0.005667359973500176,0.3154261730901693,0.003723245150497269,0.6751832217858331,0.9999999999999998,0.31914941824066656,0.011803856078337938
uncertainty_alpha_1_cv_0.30,uncertainty,25,0.0061738704479773025,0.29580020614771735,0.003874871855299033,0.6941510515490061,0.9999999999999998,0.2996750780030164,0.01309962526991611
uncertainty_alpha_1_cv_0.30,uncertainty,26,0.006712112198415241,0.27753741794879844,0.0040602295698402985,0.7116902402829459,0.9999999999999999,0.28159764751863875,0.014629485277510764
uncertainty_alpha_1_cv_0.30,uncertainty,27,0.007281242043471358,0.26054719491830913,0.004270919707489887,0.7279006433307296,1.0,0.264818114625799,0.016392115481530987
uncertainty_alpha_1_cv_0.30,uncertainty,28,0.007880746547073061,0.24474285448926514,0.004501021959749946,0.7428753770039117,0.9999999999999998,0.24924387644901508,0.018390820721376235
uncertainty_alpha_1_cv_0.30,uncertainty,29,0.008510316082574318,0.23004226026906255,0.0047462721940789735,0.7567011514542841,0.9999999999999999,0.23478853246314152,0.020632175099164943
uncertainty_alpha_1_cv_0.30,uncertainty,30,0.009169759430569429,0.21636807707859107,0.005003531392618918,0.7694586320982205,1.0,0.22137160847120999,0.023125090633409347
uncertainty_alpha_1_cv_0.30,uncertainty,31,0.009858944808989927,0.2036478081773803,0.005270437715460793,0.7812228092981689,0.9999999999999999,0.20891824589284108,0.025880159293785097
uncertainty_alpha_1_cv_0.30,uncertainty,32,0.010577758452354445,0.19181370187882457,0.005545175568466087,0.7920633641003547,0.9999999999999998,0.19735887744729066,0.028909173401852013
uncertainty_alpha_1_cv_0.30,uncertainty,33,0.011326075095209357,0.18080258159862986,0.005826320492133027,0.8020450228140277,0.9999999999999999,0.18662890209076288,0.032224763831453944
uncertainty_alpha_1_cv_0.30,uncertainty,34,0.012103736769741453,0.17055563312912628,0.006112733780730959,0.8112278963204013,1.0,0.17666836690985724,0.03584011661522231
uncertainty_alpha_1_cv_0.30,uncertainty,35,0.012910537428494516,0.16101817040195945,0.006403490228817227,0.8196678019407287,1.0,0.16742166063077668,0.03976874294889704
uncertainty_alpha_1_cv_0.30,uncertainty,36,0.013746211839373176,0.15213939313586392,0.006697828106815864,0.827416566917947,0.9999999999999999,0.15883722124267977,0.04402428568145104
uncertainty_alpha_1_cv_0.30,uncertainty,37,0.014610427684834858,0.143872144782264,0.006995114199299844,0.8345223133336013,1.0,0.15086725898156386,0.048620351145013126
uncertainty_alpha_1_cv_0.30,uncertainty,38,0.015502780075843063,0.13617267598890137,0.0072948191761648285,0.8410297247590907,1.0,0.1434674951650662,0.05357035927500893
uncertainty_alpha_1_cv_0.30,uncertainty,39,0.016422787947290313,0.12900041673701645,0.007596500082927845,0.8469802952327653,0.9999999999999999,0.1365969168199443,0.058887407305158276
uncertainty_alpha_1_cv_0.30,uncertainty,40,0.01736989203554486,0.12231775896471836,0.007899787672894988,0.8524125613268417,1.0,0.13021754663761334,0.06458414329822396
uncertainty_alpha_1_cv_0.30,uncertainty,41,0.018343454001405992,0.11608985062019928,0.008204377220858063,0.8573623181575366,1.0,0.12429422784105734,0.0706726486167993
uncertainty_alpha_1_cv_0.30,uncertainty,42,0.01934275667289469,0.11028440150983958,0.008510021578945629,0.8618628202383201,1.0,0.11879442308878521,0.07716432661772539
uncertainty_alpha_1_cv_0.30,uncertainty,43,0.020367005016059942,0.10487150094539227,0.008816525959549812,0.8659449680789979,1.0,0.11368802690494208,0.0840697985636791
uncertainty_alpha_1_cv_0.30,uncertainty,44,0.021415327933525744,0.09982344694704719,0.009123743692932054,0.8696374814264949,0.9999999999999999,0.10894719063997924,0.0913988043086899
uncertainty_alpha_1_cv_0.30,uncertainty,45,0.02248678050380823,0.09511458662050207,0.009431572865331556,0.8729670600103581,0.9999999999999999,0.10454615948583362,0.09916010993100997
uncertainty_alpha_1_cv_0.30,uncertainty,46,0.023580346835547845,0.0907211672261891,0.009739953310393745,0.8759585326278693,1.0,0.10046112053658285,0.10736141970164208
uncertainty_alpha_1_cv_0.30,uncertainty,47,0.024694943200911347,0.08662119741847664,0.010048864022344773,0.8786349953582672,0.9999999999999999,0.09667006144082141,0.11600929474338242
uncertainty_alpha_1_cv_0.30,uncertainty,48,0.0258294215207987,0.0827943181026662,0.010358320718304224,0.8810179396582307,0.9999999999999999,0.09315263882097043,0.12510907699559468
